filename,species_label,scientific_name,taxon_id,observation_id,photo_id,observed_on,latitude,longitude,photo_url,license
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0001.jpg,pterois_volitans,Pterois volitans,47280,389332067,713138461,2026-08-07,17.6471670459,-63.2556909327,https://inaturalist-open-data.s3.amazonaws.com/photos/713138461/large.jpg,cc-by-nc
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0002.jpg,pterois_volitans,Pterois volitans,47280,389332052,713138242,2026-08-07,17.6471670459,-63.2556909327,https://inaturalist-open-data.s3.amazonaws.com/photos/713138242/large.jpg,cc-by-nc
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0003.jpg,pterois_volitans,Pterois volitans,47280,389167753,712395330,2026-05-13,-0.6476328021,130.3142028829,https://inaturalist-open-data.s3.amazonaws.com/photos/712395330/large.jpg,cc-by-nc
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0004.jpg,pterois_volitans,Pterois volitans,47280,389167682,712394744,2026-05-13,-0.6476328021,130.3142028829,https://inaturalist-open-data.s3.amazonaws.com/photos/712394744/large.jpg,cc-by-nc
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0005.jpg,pterois_volitans,Pterois volitans,47280,389167681,712394720,2026-05-13,-0.6476328021,130.3142028829,https://inaturalist-open-data.s3.amazonaws.com/photos/712394720/large.jpg,cc-by-nc
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0006.jpg,pterois_volitans,Pterois volitans,47280,389133921,712753650,2026-08-06,10.3209028018,-75.5806240169,https://inaturalist-open-data.s3.amazonaws.com/photos/712753650/large.jpg,cc-by-nc
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0007.jpg,pterois_volitans,Pterois volitans,47280,388843337,712207981,2017-05-11,18.458202,-77.3984704,https://static.inaturalist.org/photos/712207981/large.jpg,
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0008.jpg,pterois_volitans,Pterois volitans,47280,388655308,711842912,2023-07-21,18.4757005557,-66.3161117679,https://inaturalist-open-data.s3.amazonaws.com/photos/711842912/large.jpg,cc-by-nc
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0009.jpg,pterois_volitans,Pterois volitans,47280,388653254,711839390,2023-07-23,18.4764593075,-66.3137055242,https://inaturalist-open-data.s3.amazonaws.com/photos/711839390/large.jpg,cc-by-nc
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0010.jpg,pterois_volitans,Pterois volitans,47280,388642331,711818988,2026-08-03,17.9845145764,-63.0472659022,https://inaturalist-open-data.s3.amazonaws.com/photos/711818988/large.jpg,cc-by-nc
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0011.jpg,pterois_volitans,Pterois volitans,47280,388556457,711625910,2026-05-30,14.6371776303,-61.1380062337,https://inaturalist-open-data.s3.amazonaws.com/photos/711625910/large.jpg,cc-by
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0012.jpg,pterois_volitans,Pterois volitans,47280,388517527,711569559,2026-08-05,26.1121155067,-80.0543045682,https://static.inaturalist.org/photos/711569559/large.jpg,
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0013.jpg,pterois_volitans,Pterois volitans,47280,388490885,711521622,2025-07-03,16.9671963147,-88.1605779352,https://inaturalist-open-data.s3.amazonaws.com/photos/711521622/large.jpg,cc-by-nc
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0014.jpg,pterois_volitans,Pterois volitans,47280,388309915,711140183,2026-05-12,-0.566787,130.275625,https://inaturalist-open-data.s3.amazonaws.com/photos/711140183/large.jpg,cc-by-nc
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0015.jpg,pterois_volitans,Pterois volitans,47280,388309897,711139944,2026-05-12,-0.566787,130.275625,https://inaturalist-open-data.s3.amazonaws.com/photos/711139944/large.jpg,cc-by-nc
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0016.jpg,pterois_volitans,Pterois volitans,47280,388261516,711072042,2026-08-04,24.7261006062,-77.7843659802,https://static.inaturalist.org/photos/711072042/large.jpg,
data\ground_species_dataset\raw\pterois_volitans\pterois_volitans_0017.jpg,pterois_volitans,Pterois volitans,47280,388156826,710868040,2026-05-30,-32.1240541418,115.7584903227,https://inaturalist-open-data.s3.amazonaws.com/photos/710868040/large.jpg,cc-by-nc
