filename,species_label,scientific_name,taxon_id,observation_id,photo_id,observer,observed_on,latitude,longitude,photo_url,license
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0001.jpg,pterois_volitans,Pterois volitans,47280,389332067,713138461,wild___max,2026-08-07,17.6471670459,-63.2556909327,https://inaturalist-open-data.s3.amazonaws.com/photos/713138461/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0002.jpg,pterois_volitans,Pterois volitans,47280,389332052,713138242,wild___max,2026-08-07,17.6471670459,-63.2556909327,https://inaturalist-open-data.s3.amazonaws.com/photos/713138242/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0003.jpg,pterois_volitans,Pterois volitans,47280,389167753,712395330,julien9uwr,2026-05-13,-0.6476328021,130.3142028829,https://inaturalist-open-data.s3.amazonaws.com/photos/712395330/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0004.jpg,pterois_volitans,Pterois volitans,47280,389167682,712394744,julien9uwr,2026-05-13,-0.6476328021,130.3142028829,https://inaturalist-open-data.s3.amazonaws.com/photos/712394744/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0005.jpg,pterois_volitans,Pterois volitans,47280,389167681,712394720,julien9uwr,2026-05-13,-0.6476328021,130.3142028829,https://inaturalist-open-data.s3.amazonaws.com/photos/712394720/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0006.jpg,pterois_volitans,Pterois volitans,47280,389133921,712753650,ramon_van_der_veen,2026-08-06,10.3209028018,-75.5806240169,https://inaturalist-open-data.s3.amazonaws.com/photos/712753650/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0007.jpg,pterois_volitans,Pterois volitans,47280,388843337,712207981,kimheadlee,2017-05-11,18.458202,-77.3984704,https://static.inaturalist.org/photos/712207981/large.jpg,
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0008.jpg,pterois_volitans,Pterois volitans,47280,388655308,711842912,mlegaspi,2023-07-21,18.4757005557,-66.3161117679,https://inaturalist-open-data.s3.amazonaws.com/photos/711842912/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0009.jpg,pterois_volitans,Pterois volitans,47280,388653254,711839390,mlegaspi,2023-07-23,18.4764593075,-66.3137055242,https://inaturalist-open-data.s3.amazonaws.com/photos/711839390/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0010.jpg,pterois_volitans,Pterois volitans,47280,388642331,711818988,wild___max,2026-08-03,17.9845145764,-63.0472659022,https://inaturalist-open-data.s3.amazonaws.com/photos/711818988/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0011.jpg,pterois_volitans,Pterois volitans,47280,388556457,711625910,matteobellu239,2026-05-30,14.6371776303,-61.1380062337,https://inaturalist-open-data.s3.amazonaws.com/photos/711625910/large.jpg,cc-by
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0012.jpg,pterois_volitans,Pterois volitans,47280,388517527,711569559,oridgen10,2026-08-05,26.1121155067,-80.0543045682,https://static.inaturalist.org/photos/711569559/large.jpg,
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0013.jpg,pterois_volitans,Pterois volitans,47280,388490885,711521622,katchristian,2025-07-03,16.9671963147,-88.1605779352,https://inaturalist-open-data.s3.amazonaws.com/photos/711521622/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0014.jpg,pterois_volitans,Pterois volitans,47280,388309915,711140183,julien9uwr,2026-05-12,-0.566787,130.275625,https://inaturalist-open-data.s3.amazonaws.com/photos/711140183/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0015.jpg,pterois_volitans,Pterois volitans,47280,388309897,711139944,julien9uwr,2026-05-12,-0.566787,130.275625,https://inaturalist-open-data.s3.amazonaws.com/photos/711139944/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0016.jpg,pterois_volitans,Pterois volitans,47280,388261516,711072042,skippychompy,2026-08-04,24.7261006062,-77.7843659802,https://static.inaturalist.org/photos/711072042/large.jpg,
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0017.jpg,pterois_volitans,Pterois volitans,47280,388156826,710868040,henrycarrick,2026-05-30,-32.1240541418,115.7584903227,https://inaturalist-open-data.s3.amazonaws.com/photos/710868040/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0018.jpg,pterois_volitans,Pterois volitans,47280,388137116,710832143,steve86431,2026-07-18,16.3282935956,-86.4999053148,https://inaturalist-open-data.s3.amazonaws.com/photos/710832143/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0019.jpg,pterois_volitans,Pterois volitans,47280,388094165,710744849,r_lai,2026-07-09,22.638745,121.4794883333,https://inaturalist-open-data.s3.amazonaws.com/photos/710744849/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0020.jpg,pterois_volitans,Pterois volitans,47280,388093804,710744204,r_lai,2026-07-09,22.638745,121.4794883333,https://inaturalist-open-data.s3.amazonaws.com/photos/710744204/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0021.jpg,pterois_volitans,Pterois volitans,47280,388090587,710737469,r_lai,2026-07-09,22.638745,121.4794883333,https://inaturalist-open-data.s3.amazonaws.com/photos/710737469/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0022.jpg,pterois_volitans,Pterois volitans,47280,387959634,710477438,madspotter,2026-08-03,12.2009849468,-68.3178304885,https://inaturalist-open-data.s3.amazonaws.com/photos/710477438/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0023.jpg,pterois_volitans,Pterois volitans,47280,387937445,710420961,matteobellu239,2026-05-28,14.4615949178,-60.9121347013,https://inaturalist-open-data.s3.amazonaws.com/photos/710420961/large.jpg,cc-by
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0024.jpg,pterois_volitans,Pterois volitans,47280,387823014,710154868,sue_churchill,2010-10-30,-0.9107,130.6079,https://inaturalist-open-data.s3.amazonaws.com/photos/710154868/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0025.jpg,pterois_volitans,Pterois volitans,47280,387571778,709720312,josylai,2026-08-02,4.2507047883,118.6310070452,https://inaturalist-open-data.s3.amazonaws.com/photos/709720312/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0026.jpg,pterois_volitans,Pterois volitans,47280,387558586,709688228,yoshi2026,2025-05-03,-8.2786335,115.5966361,https://inaturalist-open-data.s3.amazonaws.com/photos/709688228/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0027.jpg,pterois_volitans,Pterois volitans,47280,387405577,709403207,macykrishnamoorthy,2026-08-01,20.3707383333,-87.025025,https://inaturalist-open-data.s3.amazonaws.com/photos/709403207/large.jpg,cc-by-nc
