filename,species_label,scientific_name,taxon_id,observation_id,photo_id,observer,observed_on,latitude,longitude,photo_url,license,taxon_name
data\reference\pterois_volitans\pterois_volitans_001.jpg,pterois_volitans,Pterois volitans,47280,389332067,713138461,wild___max,2026-08-07,17.6471670459,-63.2556909327,https://inaturalist-open-data.s3.amazonaws.com/photos/713138461/large.jpg,cc-by-nc,Pterois volitans
data\reference\pterois_volitans\pterois_volitans_002.jpg,pterois_volitans,Pterois volitans,47280,389332052,713138242,wild___max,2026-08-07,17.6471670459,-63.2556909327,https://inaturalist-open-data.s3.amazonaws.com/photos/713138242/large.jpg,cc-by-nc,Pterois volitans
data\reference\pterois_volitans\pterois_volitans_003.jpg,pterois_volitans,Pterois volitans,47280,389167753,712395330,julien9uwr,2026-05-13,-0.6476328021,130.3142028829,https://inaturalist-open-data.s3.amazonaws.com/photos/712395330/large.jpg,cc-by-nc,Pterois volitans
data\reference\pterois_volitans\pterois_volitans_004.jpg,pterois_volitans,Pterois volitans,47280,389167682,712394744,julien9uwr,2026-05-13,-0.6476328021,130.3142028829,https://inaturalist-open-data.s3.amazonaws.com/photos/712394744/large.jpg,cc-by-nc,Pterois volitans
data\reference\pterois_volitans\pterois_volitans_005.jpg,pterois_volitans,Pterois volitans,47280,389167681,712394720,julien9uwr,2026-05-13,-0.6476328021,130.3142028829,https://inaturalist-open-data.s3.amazonaws.com/photos/712394720/large.jpg,cc-by-nc,Pterois volitans
data\reference\pterois_volitans\pterois_volitans_006.jpg,pterois_volitans,Pterois volitans,47280,389133921,712753650,ramon_van_der_veen,2026-08-06,10.3209028018,-75.5806240169,https://inaturalist-open-data.s3.amazonaws.com/photos/712753650/large.jpg,cc-by-nc,Pterois volitans
data\reference\pterois_volitans\pterois_volitans_007.jpg,pterois_volitans,Pterois volitans,47280,388843337,712207981,kimheadlee,2017-05-11,18.458202,-77.3984704,https://static.inaturalist.org/photos/712207981/large.jpg,,Pterois volitans
data\reference\pterois_volitans\pterois_volitans_008.jpg,pterois_volitans,Pterois volitans,47280,388655308,711842912,mlegaspi,2023-07-21,18.4757005557,-66.3161117679,https://inaturalist-open-data.s3.amazonaws.com/photos/711842912/large.jpg,cc-by-nc,Pterois volitans
data\reference\pterois_volitans\pterois_volitans_009.jpg,pterois_volitans,Pterois volitans,47280,388653254,711839390,mlegaspi,2023-07-23,18.4764593075,-66.3137055242,https://inaturalist-open-data.s3.amazonaws.com/photos/711839390/large.jpg,cc-by-nc,Pterois volitans
data\reference\pterois_volitans\pterois_volitans_010.jpg,pterois_volitans,Pterois volitans,47280,388642331,711818988,wild___max,2026-08-03,17.9845145764,-63.0472659022,https://inaturalist-open-data.s3.amazonaws.com/photos/711818988/large.jpg,cc-by-nc,Pterois volitans
data\reference\pterois_miles\pterois_miles_001.jpg,pterois_miles,Pterois miles,123459,389356638,713186359,invertebratelover1347,2026-07-23,26.2058606735,34.2209802117,https://inaturalist-open-data.s3.amazonaws.com/photos/713186359/large.jpg,cc-by-nc,Pterois miles
data\reference\pterois_miles\pterois_miles_002.jpg,pterois_miles,Pterois miles,123459,389285921,713051697,biologistmarina,2026-08-08,34.986095,34.0729221667,https://inaturalist-open-data.s3.amazonaws.com/photos/713051697/large.jpg,cc-by-nc-nd,Pterois miles
data\reference\pterois_miles\pterois_miles_003.jpg,pterois_miles,Pterois miles,123459,389275384,713029782,francescocecere,2026-08-03,36.5282720322,26.3541529604,https://inaturalist-open-data.s3.amazonaws.com/photos/713029782/large.jpg,cc0,Pterois miles
