filename,species_label,scientific_name,taxon_id,observation_id,photo_url
data\unknown_species_testset\chelonia_mydas\chelonia_mydas_001.jpg,chelonia_mydas,Chelonia mydas,39659,389435635,https://inaturalist-open-data.s3.amazonaws.com/photos/713338981/large.jpg
data\unknown_species_testset\chelonia_mydas\chelonia_mydas_002.jpg,chelonia_mydas,Chelonia mydas,39659,389417558,https://inaturalist-open-data.s3.amazonaws.com/photos/713303445/large.jpg
data\unknown_species_testset\chelonia_mydas\chelonia_mydas_003.jpg,chelonia_mydas,Chelonia mydas,39659,389332097,https://inaturalist-open-data.s3.amazonaws.com/photos/713138805/large.jpg
data\unknown_species_testset\chelonia_mydas\chelonia_mydas_004.jpg,chelonia_mydas,Chelonia mydas,39659,389332096,https://inaturalist-open-data.s3.amazonaws.com/photos/713138866/large.jpg
data\unknown_species_testset\chelonia_mydas\chelonia_mydas_005.jpg,chelonia_mydas,Chelonia mydas,39659,389330663,https://inaturalist-open-data.s3.amazonaws.com/photos/713135891/large.jpg
data\unknown_species_testset\chelonia_mydas\chelonia_mydas_006.jpg,chelonia_mydas,Chelonia mydas,39659,389330657,https://inaturalist-open-data.s3.amazonaws.com/photos/713135813/large.jpg
data\unknown_species_testset\chelonia_mydas\chelonia_mydas_007.jpg,chelonia_mydas,Chelonia mydas,39659,389315718,https://static.inaturalist.org/photos/713107292/large.jpg
data\unknown_species_testset\chelonia_mydas\chelonia_mydas_008.jpg,chelonia_mydas,Chelonia mydas,39659,389279218,https://static.inaturalist.org/photos/713038399/large.jpg
data\unknown_species_testset\chelonia_mydas\chelonia_mydas_009.jpg,chelonia_mydas,Chelonia mydas,39659,389267109,https://inaturalist-open-data.s3.amazonaws.com/photos/713014935/large.jpg
data\unknown_species_testset\chelonia_mydas\chelonia_mydas_010.jpg,chelonia_mydas,Chelonia mydas,39659,389257715,https://inaturalist-open-data.s3.amazonaws.com/photos/712997900/large.jpg
data\unknown_species_testset\hippocampus_erectus\hippocampus_erectus_001.jpg,hippocampus_erectus,Hippocampus erectus,54540,388911326,https://inaturalist-open-data.s3.amazonaws.com/photos/712348776/large.jpg
data\unknown_species_testset\hippocampus_erectus\hippocampus_erectus_002.jpg,hippocampus_erectus,Hippocampus erectus,54540,388766401,https://static.inaturalist.org/photos/712059180/large.jpg
data\unknown_species_testset\hippocampus_erectus\hippocampus_erectus_003.jpg,hippocampus_erectus,Hippocampus erectus,54540,387614198,https://inaturalist-open-data.s3.amazonaws.com/photos/709802443/large.jpg
data\unknown_species_testset\hippocampus_erectus\hippocampus_erectus_004.jpg,hippocampus_erectus,Hippocampus erectus,54540,387541534,https://inaturalist-open-data.s3.amazonaws.com/photos/709662165/large.jpg
data\unknown_species_testset\hippocampus_erectus\hippocampus_erectus_005.jpg,hippocampus_erectus,Hippocampus erectus,54540,387541189,https://inaturalist-open-data.s3.amazonaws.com/photos/709661414/large.jpg
