score_threshold,margin_threshold,known_acceptance,unknown_rejection,false_acceptance,balanced_score
0.75,0.0,1.0,0.38,0.62,0.69
0.75,0.005,1.0,0.48,0.52,0.74
0.75,0.01,0.99,0.56,0.44,0.775
0.75,0.015,0.98,0.62,0.38,0.8
0.75,0.02,0.96,0.8,0.2,0.88
0.75,0.025,0.95,0.8,0.2,0.875
0.75,0.03,0.93,0.84,0.16,0.885
0.75,0.035,0.91,0.84,0.16,0.875
0.75,0.04,0.91,0.88,0.12,0.895
0.75,0.045,0.91,0.9,0.1,0.905
0.75,0.05,0.89,0.94,0.06,0.915
0.75,0.055,0.89,0.96,0.04,0.925
0.75,0.06,0.89,0.98,0.02,0.935
0.75,0.065,0.86,0.98,0.02,0.9199999999999999
0.75,0.07,0.82,1.0,0.0,0.9099999999999999
0.75,0.075,0.79,1.0,0.0,0.895
0.75,0.08,0.78,1.0,0.0,0.89
0.75,0.085,0.76,1.0,0.0,0.88
0.75,0.09,0.74,1.0,0.0,0.87
0.75,0.095,0.68,1.0,0.0,0.8400000000000001
0.75,0.1,0.61,1.0,0.0,0.8049999999999999
0.755,0.0,1.0,0.4,0.6,0.7
0.755,0.005,1.0,0.5,0.5,0.75
0.755,0.01,0.99,0.58,0.42,0.7849999999999999
0.755,0.015,0.98,0.64,0.36,0.81
0.755,0.02,0.96,0.82,0.18,0.8899999999999999
0.755,0.025,0.95,0.82,0.18,0.885
0.755,0.03,0.93,0.86,0.14,0.895
0.755,0.035,0.91,0.86,0.14,0.885
0.755,0.04,0.91,0.9,0.1,0.905
0.755,0.045,0.91,0.92,0.08,0.915
0.755,0.05,0.89,0.94,0.06,0.915
0.755,0.055,0.89,0.96,0.04,0.925
0.755,0.06,0.89,0.98,0.02,0.935
0.755,0.065,0.86,0.98,0.02,0.9199999999999999
0.755,0.07,0.82,1.0,0.0,0.9099999999999999
0.755,0.075,0.79,1.0,0.0,0.895
0.755,0.08,0.78,1.0,0.0,0.89
0.755,0.085,0.76,1.0,0.0,0.88
0.755,0.09,0.74,1.0,0.0,0.87
0.755,0.095,0.68,1.0,0.0,0.8400000000000001
0.755,0.1,0.61,1.0,0.0,0.8049999999999999
0.76,0.0,1.0,0.46,0.54,0.73
0.76,0.005,1.0,0.56,0.44,0.78
0.76,0.01,0.99,0.64,0.36,0.815
0.76,0.015,0.98,0.7,0.3,0.84
0.76,0.02,0.96,0.86,0.14,0.9099999999999999
0.76,0.025,0.95,0.86,0.14,0.905
0.76,0.03,0.93,0.88,0.12,0.905
0.76,0.035,0.91,0.88,0.12,0.895
0.76,0.04,0.91,0.92,0.08,0.915
0.76,0.045,0.91,0.94,0.06,0.925
0.76,0.05,0.89,0.96,0.04,0.925
0.76,0.055,0.89,0.96,0.04,0.925
0.76,0.06,0.89,0.98,0.02,0.935
0.76,0.065,0.86,0.98,0.02,0.9199999999999999
0.76,0.07,0.82,1.0,0.0,0.9099999999999999
0.76,0.075,0.79,1.0,0.0,0.895
0.76,0.08,0.78,1.0,0.0,0.89
0.76,0.085,0.76,1.0,0.0,0.88
0.76,0.09,0.74,1.0,0.0,0.87
0.76,0.095,0.68,1.0,0.0,0.8400000000000001
0.76,0.1,0.61,1.0,0.0,0.8049999999999999
0.765,0.0,1.0,0.48,0.52,0.74
0.765,0.005,1.0,0.56,0.44,0.78
0.765,0.01,0.99,0.64,0.36,0.815
0.765,0.015,0.98,0.7,0.3,0.84
0.765,0.02,0.96,0.86,0.14,0.9099999999999999
0.765,0.025,0.95,0.86,0.14,0.905
0.765,0.03,0.93,0.88,0.12,0.905
0.765,0.035,0.91,0.88,0.12,0.895
0.765,0.04,0.91,0.92,0.08,0.915
0.765,0.045,0.91,0.94,0.06,0.925
0.765,0.05,0.89,0.96,0.04,0.925
0.765,0.055,0.89,0.96,0.04,0.925
0.765,0.06,0.89,0.98,0.02,0.935
0.765,0.065,0.86,0.98,0.02,0.9199999999999999
0.765,0.07,0.82,1.0,0.0,0.9099999999999999
0.765,0.075,0.79,1.0,0.0,0.895
0.765,0.08,0.78,1.0,0.0,0.89
0.765,0.085,0.76,1.0,0.0,0.88
0.765,0.09,0.74,1.0,0.0,0.87
0.765,0.095,0.68,1.0,0.0,0.8400000000000001
0.765,0.1,0.61,1.0,0.0,0.8049999999999999
0.77,0.0,1.0,0.52,0.48,0.76
0.77,0.005,1.0,0.6,0.4,0.8
0.77,0.01,0.99,0.66,0.34,0.825
0.77,0.015,0.98,0.72,0.28,0.85
0.77,0.02,0.96,0.88,0.12,0.9199999999999999
0.77,0.025,0.95,0.88,0.12,0.915
0.77,0.03,0.93,0.9,0.1,0.915
0.77,0.035,0.91,0.9,0.1,0.905
0.77,0.04,0.91,0.94,0.06,0.925
0.77,0.045,0.91,0.94,0.06,0.925
0.77,0.05,0.89,0.96,0.04,0.925
0.77,0.055,0.89,0.96,0.04,0.925
0.77,0.06,0.89,0.98,0.02,0.935
0.77,0.065,0.86,0.98,0.02,0.9199999999999999
0.77,0.07,0.82,1.0,0.0,0.9099999999999999
0.77,0.075,0.79,1.0,0.0,0.895
0.77,0.08,0.78,1.0,0.0,0.89
0.77,0.085,0.76,1.0,0.0,0.88
0.77,0.09,0.74,1.0,0.0,0.87
0.77,0.095,0.68,1.0,0.0,0.8400000000000001
0.77,0.1,0.61,1.0,0.0,0.8049999999999999
0.775,0.0,1.0,0.54,0.46,0.77
0.775,0.005,1.0,0.62,0.38,0.81
0.775,0.01,0.99,0.68,0.32,0.835
0.775,0.015,0.98,0.72,0.28,0.85
0.775,0.02,0.96,0.88,0.12,0.9199999999999999
0.775,0.025,0.95,0.88,0.12,0.915
0.775,0.03,0.93,0.9,0.1,0.915
0.775,0.035,0.91,0.9,0.1,0.905
0.775,0.04,0.91,0.94,0.06,0.925
0.775,0.045,0.91,0.94,0.06,0.925
0.775,0.05,0.89,0.96,0.04,0.925
0.775,0.055,0.89,0.96,0.04,0.925
0.775,0.06,0.89,0.98,0.02,0.935
0.775,0.065,0.86,0.98,0.02,0.9199999999999999
0.775,0.07,0.82,1.0,0.0,0.9099999999999999
0.775,0.075,0.79,1.0,0.0,0.895
0.775,0.08,0.78,1.0,0.0,0.89
0.775,0.085,0.76,1.0,0.0,0.88
0.775,0.09,0.74,1.0,0.0,0.87
0.775,0.095,0.68,1.0,0.0,0.8400000000000001
0.775,0.1,0.61,1.0,0.0,0.8049999999999999
0.78,0.0,1.0,0.58,0.42,0.79
0.78,0.005,1.0,0.66,0.34,0.8300000000000001
0.78,0.01,0.99,0.7,0.3,0.845
0.78,0.015,0.98,0.74,0.26,0.86
0.78,0.02,0.96,0.9,0.1,0.9299999999999999
0.78,0.025,0.95,0.9,0.1,0.925
0.78,0.03,0.93,0.9,0.1,0.915
0.78,0.035,0.91,0.9,0.1,0.905
0.78,0.04,0.91,0.94,0.06,0.925
0.78,0.045,0.91,0.94,0.06,0.925
0.78,0.05,0.89,0.96,0.04,0.925
0.78,0.055,0.89,0.96,0.04,0.925
0.78,0.06,0.89,0.98,0.02,0.935
0.78,0.065,0.86,0.98,0.02,0.9199999999999999
0.78,0.07,0.82,1.0,0.0,0.9099999999999999
0.78,0.075,0.79,1.0,0.0,0.895
0.78,0.08,0.78,1.0,0.0,0.89
0.78,0.085,0.76,1.0,0.0,0.88
0.78,0.09,0.74,1.0,0.0,0.87
0.78,0.095,0.68,1.0,0.0,0.8400000000000001
0.78,0.1,0.61,1.0,0.0,0.8049999999999999
0.785,0.0,0.99,0.62,0.38,0.8049999999999999
0.785,0.005,0.99,0.66,0.34,0.825
0.785,0.01,0.98,0.7,0.3,0.84
0.785,0.015,0.97,0.74,0.26,0.855
0.785,0.02,0.95,0.9,0.1,0.925
0.785,0.025,0.94,0.9,0.1,0.9199999999999999
0.785,0.03,0.93,0.9,0.1,0.915
0.785,0.035,0.91,0.9,0.1,0.905
0.785,0.04,0.91,0.94,0.06,0.925
0.785,0.045,0.91,0.94,0.06,0.925
0.785,0.05,0.89,0.96,0.04,0.925
